Angle, Distance
0.000000 0.000000
1.296387 0.000000
2.598267 0.000000
3.894653 0.000000
5.196533 0.000000
6.218262 2.580750
6.492920 0.000000
7.531128 2.594000
7.794800 0.000000
9.096680 0.000000
10.393066 0.000000
11.694946 0.000000
12.991333 0.000000
16.891479 0.000000
18.193359 0.000000
19.489746 0.000000
20.791626 0.000000
22.093506 0.000000
23.389893 0.000000
24.691772 0.000000
25.988159 0.000000
27.290039 0.000000
28.591919 0.000000
29.888306 0.000000
31.014404 2.126000
31.190186 0.000000
32.486572 0.000000
33.788452 0.000000
35.013428 1.939250
35.084839 0.000000
36.139526 2.743000
36.386719 0.000000
37.386475 2.752250
37.688599 0.000000
38.699341 2.787250
40.286865 0.000000
41.583252 0.000000
42.577515 2.897000
45.620728 0.631000
47.076416 0.611500
48.081665 0.000000
48.372803 0.593250
49.383545 0.000000
49.855957 0.582750
51.124878 0.580250
52.371826 0.576000
53.827515 0.567500
55.217285 0.552250
56.557617 0.534750
57.760620 0.528750
59.183350 0.519000
60.402832 0.519000
61.809082 0.504250
63.281250 0.494750
64.791870 0.479250
66.137695 0.479000
67.214355 0.484250
74.075317 0.000000
75.377197 0.000000
75.541992 0.638750
76.673584 0.000000
76.981201 0.638000
77.975464 0.000000
78.167725 0.628250
79.277344 0.000000
79.530029 0.646000
80.573730 0.000000
80.870361 0.641750
82.166748 0.646000
83.545532 0.627500
84.638672 0.622000
86.077881 0.629750
87.341309 0.647000
94.872437 0.000000
96.168823 0.000000
97.470703 0.000000
98.767090 0.000000
100.068970 0.000000
101.370850 0.000000
102.667236 0.000000
103.776855 2.470500
103.969116 0.000000
105.122681 2.475500
105.265503 0.000000
106.369629 2.470500
106.567383 0.000000
107.698975 2.466250
107.869263 0.000000
109.165649 0.000000
109.182129 1.758500
110.467529 0.000000
111.796875 0.666500
113.356934 0.602500
114.763184 0.582500
122.162476 0.000000
122.371216 0.661750
123.464355 0.000000
123.480835 0.664250
124.760742 0.000000
124.920044 0.650500
126.062622 0.000000
127.364502 0.000000
132.561035 0.000000
133.857422 0.000000
134.901123 2.680750
135.159302 0.000000
136.186523 2.708000
136.461182 0.000000
137.499390 2.735750
137.757568 0.000000
139.059448 0.000000
140.185547 2.349000
140.355835 0.000000
141.514893 2.217750
141.657715 0.000000
142.668457 2.846250
143.964844 2.876750
145.244751 2.902500
146.557617 2.937500
146.854248 0.000000
149.699707 0.638750
151.138916 0.578000
152.418823 0.571750
153.808594 0.567000
155.088501 0.566250
156.434326 0.560750
163.751221 0.000000
163.905029 0.654500
165.053101 0.000000
165.217896 0.653250
166.349487 0.000000
167.651367 0.000000
168.947754 0.000000
172.847900 0.000000
174.149780 0.000000
175.045166 3.051750
175.446167 0.000000
176.748047 0.000000
178.049927 0.000000
179.346313 0.000000
180.648193 0.000000
181.944580 0.000000
184.548340 0.000000
185.844727 0.000000
187.146606 0.000000
188.442993 0.000000
189.744873 0.000000
191.046753 0.000000
192.343140 0.000000
193.645020 0.000000
194.419556 3.720000
194.941406 0.000000
195.748901 3.642750
196.243286 0.000000
197.045288 3.583250
197.539673 0.000000
198.341675 3.541500
198.841553 0.000000
199.621582 3.432750
200.143433 0.000000
200.934448 3.415750
201.439819 0.000000
202.230835 3.390000
207.465820 3.207500
208.745728 3.182250
210.058594 3.149250
211.354980 3.132250
211.838379 0.000000
212.640381 3.095250
213.140259 0.000000
213.980713 3.067500
214.436646 0.000000
215.260620 3.048250
216.562500 3.027500
217.858887 3.009250
219.171753 3.000250
220.435181 2.958500
221.748047 2.954750
223.027954 2.936250
224.357300 2.921500
225.653687 2.925000
226.966553 2.893000
236.530151 0.000000
237.832031 0.000000
239.128418 0.000000
240.430298 0.000000
241.732178 0.000000
243.028564 0.000000
244.330444 0.000000
245.170898 2.767250
245.626831 0.000000
246.467285 2.706000
246.928711 0.000000
247.780151 2.627250
248.230591 0.000000
249.076538 2.548500
249.526978 0.000000
250.433350 2.482500
250.828857 0.000000
251.779175 2.446250
252.125244 0.000000
253.108521 2.373750
254.388428 2.325750
255.668335 2.295000
256.997681 2.238500
258.294067 2.202750
259.606934 2.167000
260.936279 2.129500
262.249146 2.097750
263.572998 2.055500
264.885864 2.040000
266.171265 2.004000
267.467651 1.975500
268.791504 1.928000
278.118896 0.000000
279.420776 0.000000
280.717163 0.000000
282.019043 0.000000
283.320923 0.000000
284.617310 0.000000
285.919189 0.000000
287.215576 0.000000
288.517456 0.000000
289.819336 0.000000
290.357666 0.926000
291.115723 0.000000
291.697998 0.874000
292.417603 0.000000
293.093262 0.852250
293.713989 0.000000
294.296265 0.865750
295.015869 0.000000
295.653076 0.867500
296.312256 0.000000
296.905518 0.876000
298.125000 0.919500
299.421387 0.894500
308.012695 0.000000
309.309082 0.000000
310.610962 0.000000
311.912842 0.000000
313.209229 0.000000
314.511108 0.000000
315.807495 0.000000
317.109375 0.000000
318.411255 0.000000
319.707642 0.000000
321.009521 0.000000
322.305908 0.000000
323.607788 0.000000
324.909668 0.000000
326.206055 0.000000
327.507935 0.000000
328.804321 0.000000
329.716187 2.518000
330.106201 0.000000
331.402588 0.000000
332.325439 2.432750
332.704468 0.000000
334.006348 0.000000
334.934692 2.354000
335.302734 0.000000
336.280518 2.311500
336.604614 0.000000
337.543945 2.300500
338.889771 2.279750
339.202881 0.000000
340.186157 2.265500
341.499023 2.225250
341.801147 0.000000
342.811890 2.210000
344.091797 2.202000
345.404663 2.159500
354.797974 0.000000
356.099854 0.000000
357.396240 0.000000
358.698120 0.000000
