Angle, Distance
0.340576 0.000000
1.571045 0.000000
2.801514 0.000000
4.026489 0.000000
5.256958 0.000000
6.487427 0.000000
7.712402 0.000000
8.942871 0.000000
10.173340 0.000000
11.398315 0.000000
12.628784 0.000000
13.859253 0.000000
15.084229 0.000000
16.314697 0.000000
17.545166 0.000000
18.770142 0.000000
20.000610 0.000000
21.231079 0.000000
22.456055 0.000000
23.686523 0.000000
24.916992 0.000000
26.141968 0.000000
27.372437 0.000000
28.602905 0.000000
29.827881 0.000000
31.058350 0.000000
32.288818 0.000000
33.513794 0.000000
34.744263 0.000000
35.974731 0.000000
37.199707 0.000000
38.430176 0.000000
39.660645 0.000000
40.885620 0.000000
42.116089 0.000000
43.346558 0.000000
44.571533 0.000000
45.802002 0.000000
47.032471 0.000000
48.257446 0.000000
49.498901 2.386250
50.762329 2.361000
51.965332 2.354250
53.217773 2.324250
54.437256 2.313000
55.640259 2.321250
56.920166 2.329750
58.090210 0.000000
59.326172 2.486750
60.545654 0.000000
61.776123 0.000000
63.001099 0.000000
64.324951 2.160000
65.462036 0.000000
66.692505 0.000000
67.917480 0.000000
69.147949 0.000000
70.378418 0.000000
71.603394 0.000000
72.833862 0.000000
74.064331 0.000000
75.289307 0.000000
76.519775 0.000000
77.750244 0.000000
78.975220 0.000000
80.205688 0.000000
81.436157 0.000000
82.661133 0.000000
83.891602 0.000000
85.122070 0.000000
86.347046 0.000000
87.577515 0.000000
88.807983 0.000000
90.032959 0.000000
91.263428 0.000000
92.493896 0.000000
93.718872 0.000000
94.949341 0.000000
96.179810 0.000000
97.311401 2.325250
98.530884 2.263000
99.777832 2.253250
100.997314 2.253750
102.200317 2.272750
103.463745 2.275500
104.655762 2.288500
105.869751 2.307000
107.138672 2.348000
108.462524 0.000000
109.692993 0.000000
110.923462 0.000000
112.148438 0.000000
113.378906 0.000000
114.609375 0.000000
115.834351 0.000000
117.064819 0.000000
118.295288 0.000000
119.520264 0.000000
120.750732 0.000000
121.981201 0.000000
123.206177 0.000000
124.436646 0.000000
125.667114 0.000000
126.892090 0.000000
128.122559 0.000000
129.353027 0.000000
130.578003 0.000000
131.808472 0.000000
133.038940 0.000000
134.263916 0.000000
135.494385 0.000000
136.724854 0.000000
137.955322 0.000000
139.180298 0.000000
140.526123 1.555750
141.641235 0.000000
142.866211 0.000000
144.096680 0.000000
145.327148 0.000000
146.552124 0.000000
149.199829 0.650500
150.402832 0.643000
151.699219 0.639000
152.874756 0.650250
154.088745 0.659750
155.280762 0.667500
156.384888 0.000000
156.434326 0.680500
157.609863 0.000000
158.840332 0.000000
160.070801 0.000000
161.295776 0.000000
162.526245 0.000000
163.756714 0.000000
164.981689 0.000000
166.212158 0.000000
167.442627 0.000000
168.667603 0.000000
169.898071 0.000000
171.128540 0.000000
171.589966 13.342500
173.583984 0.000000
174.814453 0.000000
176.039429 0.000000
177.269897 0.000000
178.500366 0.000000
180.955811 0.000000
181.170044 0.582750
182.186279 0.000000
184.372559 0.722750
184.641724 0.000000
185.872192 0.000000
187.097168 0.000000
188.327637 0.000000
189.558105 0.000000
190.783081 0.000000
193.546143 0.572750
194.749146 0.557000
196.215820 0.511750
197.512207 0.506750
198.885498 0.502250
199.885254 0.505000
201.247559 0.509000
202.417603 0.513250
203.450317 0.512750
204.796143 0.522750
205.526733 0.000000
206.119995 0.534000
206.757202 0.000000
207.987671 0.000000
209.218140 0.000000
210.443115 0.000000
211.673584 0.000000
212.904053 0.000000
214.650879 0.882500
215.952759 0.859500
217.183228 0.838750
218.452148 0.824500
219.715576 0.834000
220.885620 0.815000
222.187500 0.784250
223.494873 0.781000
224.730835 0.768250
226.010742 0.744500
227.213745 0.729000
228.619995 0.717250
228.872681 0.000000
230.103149 0.000000
231.333618 0.000000
233.327637 0.752750
234.541626 0.742750
236.420288 0.569250
237.843018 0.539500
239.106445 0.524000
240.512695 0.520250
241.572876 0.521000
242.858276 0.523750
244.121704 0.533750
244.846802 0.000000
245.214844 0.547750
247.324219 0.609500
248.593140 0.582750
249.840088 0.588500
251.043091 0.579250
252.322998 0.567500
253.828125 0.561750
254.888306 0.557250
256.168213 0.553750
257.294312 0.554000
258.530273 0.565250
259.683838 0.575250
261.183472 0.556000
262.326050 0.545750
263.715820 0.536750
264.902344 0.535500
265.968018 0.539000
267.214966 0.536500
268.511353 0.539250
269.417725 0.000000
269.714355 0.555000
270.648193 0.000000
271.878662 0.000000
273.103638 0.000000
274.334106 0.000000
275.564575 0.000000
276.789551 0.000000
278.020020 0.000000
279.250488 0.000000
282.260742 0.466750
283.656006 0.466750
284.732666 0.476750
285.391846 0.000000
285.935669 0.490500
286.622314 0.000000
287.852783 0.000000
288.528442 1.903250
289.747925 1.961000
290.917969 2.099750
292.120972 2.142000
293.356934 2.176500
294.576416 2.250250
296.449585 0.000000
297.680054 0.000000
298.295288 2.114500
299.542236 2.079750
300.778198 2.055750
302.058105 1.986500
303.261108 1.901500
304.497070 1.885500
305.733032 1.875750
307.545776 1.114000
308.715820 1.093000
310.089111 1.008250
311.308594 0.976250
312.434692 1.060250
313.654175 1.065250
314.901123 1.064500
316.170044 1.064500
317.307129 1.074250
318.592529 1.093500
319.779053 1.134250
320.921631 1.128000
322.250977 0.000000
323.481445 0.000000
324.711914 0.000000
325.936890 0.000000
327.167358 0.000000
328.397827 0.000000
329.622803 0.000000
330.853271 0.000000
332.083740 0.000000
333.308716 0.000000
334.539185 0.000000
335.769653 0.000000
336.994629 0.000000
338.225098 0.000000
339.455566 0.000000
340.680542 0.000000
341.911011 0.000000
343.141479 0.000000
344.366455 0.000000
345.596924 0.000000
346.827393 0.000000
348.052368 0.000000
349.282837 0.000000
350.513306 0.000000
351.743774 0.000000
352.968750 0.000000
354.199219 0.000000
355.435181 2.885250
356.698608 2.822500
357.885132 0.000000
359.115601 0.000000
