Angle, Distance
0.186768 0.296000
0.483398 0.296000
0.714111 0.297000
0.999756 0.297000
1.296387 0.297000
1.576538 0.297000
1.873169 0.298000
2.153320 0.298000
2.433472 0.298000
2.730103 0.298000
3.010254 0.299000
3.312378 0.299000
3.592529 0.299000
3.889160 0.299000
4.119873 0.300000
4.405518 0.300000
4.702148 0.300000
4.982300 0.301000
5.262451 0.301000
5.559082 0.301000
5.839233 0.302000
6.135864 0.302000
6.421509 0.303000
6.718140 0.303000
6.948853 0.304000
7.229004 0.304000
7.531128 0.304000
7.811279 0.305000
8.091431 0.305000
8.388062 0.306000
8.668213 0.306000
8.964844 0.306000
9.244995 0.307000
9.541626 0.307000
9.777832 0.308000
10.057983 0.308000
10.354614 0.309000
10.640259 0.309000
10.920410 0.310000
11.217041 0.310000
11.497192 0.311000
11.793823 0.311000
12.030029 0.312000
12.310181 0.313000
12.606812 0.313000
12.886963 0.314000
13.183594 0.314000
13.463745 0.315000
13.760376 0.315000
13.996582 0.316000
14.276733 0.317000
14.573364 0.317000
14.859009 0.318000
15.155640 0.319000
15.386353 0.320000
15.666504 0.320000
15.968628 0.321000
16.248779 0.322000
16.545410 0.322000
16.825562 0.323000
17.122192 0.323000
17.358398 0.324000
17.655029 0.325000
17.935181 0.326000
18.610840 0.000000
18.748169 0.328000
18.896484 0.000000
19.324951 0.329000
19.473267 0.000000
19.621582 0.331000
19.857788 0.334000
20.137939 0.333000
20.434570 0.333000
20.714722 0.334000
21.011353 0.335000
21.291504 0.335000
21.593628 0.336000
21.824341 0.337000
22.104492 0.338000
22.401123 0.339000
22.686768 0.340000
22.983398 0.341000
23.214111 0.342000
23.510742 0.343000
23.796387 0.343000
24.093018 0.344000
24.373169 0.345000
24.609375 0.347000
24.906006 0.347000
25.186157 0.348000
25.482788 0.349000
25.762939 0.351000
25.999146 0.352000
26.295776 0.353000
26.575928 0.354000
26.872559 0.355000
27.152710 0.356000
27.388916 0.357000
27.685547 0.359000
27.965698 0.360000
28.262329 0.361000
28.498535 0.362000
28.778687 0.363000
29.075317 0.365000
29.371948 0.366000
29.652100 0.367000
29.888306 0.369000
30.184937 0.371000
30.465088 0.372000
30.701294 0.373000
30.997925 0.374000
31.278076 0.376000
31.574707 0.377000
31.854858 0.378000
32.091064 0.380000
32.387695 0.382000
32.667847 0.383000
32.904053 0.385000
33.200684 0.387000
33.480835 0.388000
33.777466 0.390000
34.013672 0.391000
34.293823 0.393000
34.590454 0.394000
34.870605 0.396000
35.106812 0.398000
35.403442 0.400000
36.216431 0.404000
36.754761 0.000000
37.040405 0.000000
41.401978 0.167000
41.682129 0.167000
41.918335 0.168000
42.264404 0.167000
42.561035 0.167000
42.791748 0.168000
43.077393 0.168000
43.264160 0.170000
43.544312 0.170000
43.840942 0.170000
44.121094 0.170000
44.417725 0.170000
44.697876 0.170000
45.000000 0.170000
45.280151 0.170000
45.620728 0.169000
45.966797 0.168000
46.307373 0.167000
46.653442 0.166000
46.999512 0.165000
47.279663 0.164000
47.620239 0.163000
47.966309 0.162000
47.982788 0.000000
48.262939 0.162000
48.273926 0.000000
48.559570 0.000000
48.609009 0.161000
48.850708 0.000000
48.889160 0.161000
49.119873 0.162000
