Angle, Distance
0.032959 0.000000
0.285645 0.000000
0.543823 0.000000
0.796509 0.000000
1.049194 0.000000
1.301880 0.000000
1.560059 0.000000
1.812744 0.000000
2.065430 0.000000
2.318115 0.000000
2.576294 0.000000
2.828979 0.000000
3.081665 0.000000
3.334351 0.000000
3.592529 0.000000
3.845215 0.000000
4.097900 0.000000
4.350586 0.000000
4.608765 0.000000
4.861450 0.000000
5.114136 0.000000
5.366821 0.000000
5.625000 0.000000
5.877686 0.000000
6.130371 0.000000
6.383057 0.000000
6.641235 0.000000
6.893921 0.000000
7.146606 0.000000
7.399292 0.000000
7.657471 0.000000
7.910156 0.000000
8.162842 0.000000
8.415527 0.000000
8.673706 0.000000
8.926392 0.000000
9.179077 0.000000
9.431763 0.000000
9.689941 0.000000
9.942627 0.000000
10.195312 0.000000
10.447998 0.000000
10.706177 0.000000
10.958862 0.000000
11.211548 0.000000
11.464233 0.000000
11.722412 0.000000
11.975098 0.000000
12.227783 0.000000
12.480469 0.000000
12.738647 0.000000
12.991333 0.000000
13.244019 0.000000
13.496704 0.000000
13.754883 0.000000
14.007568 0.000000
14.260254 0.000000
14.512939 0.000000
14.771118 0.000000
15.023804 0.000000
15.276489 0.000000
15.529175 0.000000
15.787354 0.000000
16.040039 0.000000
16.292725 0.000000
16.545410 0.000000
16.803589 0.000000
17.056274 0.000000
17.308960 0.000000
17.561646 0.000000
17.819824 0.000000
18.072510 0.000000
18.325195 0.000000
18.577881 0.000000
18.836060 0.000000
19.088745 0.000000
19.341431 0.000000
19.594116 0.000000
19.852295 0.000000
20.104980 0.000000
20.357666 0.000000
20.610352 0.000000
20.868530 0.000000
21.121216 0.000000
21.373901 0.000000
21.626587 0.000000
21.884766 0.000000
22.137451 0.000000
22.390137 0.000000
22.642822 0.000000
22.901001 0.000000
23.153687 0.000000
23.406372 0.000000
23.659058 0.000000
23.917236 0.000000
24.169922 0.000000
24.422607 0.000000
24.675293 0.000000
24.933472 0.000000
25.186157 0.000000
25.438843 0.000000
25.691528 0.000000
25.949707 0.000000
26.202393 0.000000
26.455078 0.000000
26.707764 0.000000
26.965942 0.000000
27.218628 0.000000
27.471313 0.000000
27.723999 0.000000
27.982178 0.000000
28.234863 0.000000
28.487549 0.000000
28.740234 0.000000
28.998413 0.000000
29.251099 0.000000
29.503784 0.000000
29.756470 0.000000
30.014648 0.000000
30.267334 0.000000
30.498047 1.532000
30.520020 0.000000
30.745239 1.524000
30.772705 0.000000
30.997925 1.528000
31.030884 0.000000
31.245117 1.536000
31.448364 1.542000
31.744995 1.532000
32.014160 1.508000
32.261353 1.488000
33.316040 0.000000
33.568726 0.000000
33.821411 0.000000
34.079590 0.000000
34.332275 0.000000
34.584961 0.000000
34.837646 0.000000
35.095825 0.000000
35.348511 0.000000
41.698608 0.000000
41.951294 0.000000
41.967773 0.170000
42.209473 0.000000
42.214966 0.170000
42.462158 0.000000
42.467651 0.170000
42.654419 0.171000
42.714844 0.000000
42.901611 0.171000
42.967529 0.000000
43.154297 0.171000
