Angle, Distance
0.000000 0.000000
0.307617 0.000000
0.433960 0.489000
0.615234 0.000000
0.747070 0.487000
0.928345 0.000000
1.060181 0.485000
1.235962 0.000000
1.373291 0.483000
1.543579 0.000000
1.730347 0.482000
1.856689 0.000000
2.043457 0.482000
2.164307 0.000000
2.356567 0.481000
2.477417 0.000000
2.669678 0.481000
2.785034 0.000000
2.982788 0.481000
3.092651 0.000000
3.295898 0.482000
3.405762 0.000000
3.543091 0.483000
3.713379 0.000000
3.856201 0.484000
4.026489 0.000000
4.169312 0.486000
4.334106 0.000000
4.482422 0.489000
4.641724 0.000000
4.954834 0.000000
5.042725 0.493000
5.262451 0.000000
5.575562 0.000000
10.222778 0.000000
10.838013 0.000000
11.151123 0.000000
11.458740 0.000000
11.771851 0.000000
12.079468 0.000000
12.387085 0.000000
12.700195 0.000000
13.007812 0.000000
13.320923 0.000000
13.628540 0.000000
13.936157 0.000000
14.249268 0.000000
14.556885 0.000000
14.869995 0.000000
15.177612 0.000000
15.485229 0.000000
15.798340 0.000000
16.105957 0.000000
16.419067 0.000000
16.726685 0.000000
17.034302 0.000000
17.347412 0.000000
17.655029 0.000000
17.968140 0.000000
18.275757 0.000000
18.435059 1.534000
18.583374 0.000000
18.748169 1.518000
18.896484 0.000000
19.061279 1.510000
19.204102 0.000000
19.374390 1.500000
19.517212 0.000000
19.687500 1.482000
19.824829 0.000000
19.995117 1.464000
20.132446 0.000000
20.308228 1.452000
20.445557 0.000000
20.670776 1.446000
20.753174 0.000000
20.983887 1.440000
21.066284 0.000000
21.291504 1.426000
21.373901 0.000000
21.604614 1.414000
21.681519 0.000000
21.917725 1.404000
21.994629 0.000000
22.230835 1.392000
22.302246 0.000000
22.543945 1.382000
22.615356 0.000000
22.857056 1.368000
22.922974 0.000000
23.214111 1.364000
23.230591 0.000000
23.527222 1.352000
23.543701 0.000000
23.840332 1.336000
23.851318 0.000000
24.153442 1.326000
24.164429 0.000000
24.466553 1.316000
24.472046 0.000000
24.763184 1.310000
24.779663 0.000000
25.076294 1.300000
25.092773 0.000000
25.400391 0.000000
25.449829 1.292000
25.746460 1.288000
26.059570 1.278000
26.372681 1.264000
26.685791 1.252000
26.982422 1.246000
27.295532 1.242000
27.608643 1.232000
27.965698 1.224000
28.278809 1.214000
28.591919 1.206000
28.905029 1.196000
29.218140 1.190000
29.514771 1.182000
29.827881 1.176000
30.201416 1.170000
30.498047 1.160000
30.811157 1.154000
31.124268 1.148000
31.437378 1.138000
31.744995 1.130000
32.041626 1.126000
32.354736 1.120000
32.717285 1.116000
33.277588 1.122000
39.962769 0.000000
40.583496 0.000000
40.891113 0.000000
41.204224 0.000000
41.511841 0.000000
41.819458 0.000000
42.132568 0.000000
42.171021 0.968000
42.308350 0.171000
42.484131 0.964000
42.604980 0.171000
42.791748 0.962000
42.918091 0.171000
43.088379 0.952000
43.231201 0.171000
43.467407 0.936000
43.544312 0.171000
43.764038 0.916000
43.840942 0.171000
44.137573 0.902000
44.154053 0.171000
44.467163 0.171000
44.747314 0.884000
44.890137 0.169000
45.247192 0.168000
45.620728 0.167000
46.043701 0.165000
46.356812 0.164000
46.653442 0.164000
47.026978 0.163000
47.389526 0.162000
47.763062 0.161000
48.015747 0.000000
48.076172 0.161000
48.328857 0.000000
48.636475 0.000000
51.113892 0.000000
51.734619 0.000000
52.047729 0.000000
52.168579 0.910000
52.355347 0.000000
52.481689 0.908000
52.662964 0.000000
52.794800 0.902000
52.976074 0.000000
53.107910 0.894000
53.283691 0.000000
53.421021 0.888000
53.596802 0.000000
53.778076 0.874000
53.904419 0.000000
54.091187 0.874000
54.212036 0.000000
54.404297 0.872000
54.525146 0.000000
54.700928 0.862000
54.832764 0.000000
55.014038 0.860000
55.145874 0.000000
55.327148 0.858000
55.453491 0.000000
55.640259 0.856000
55.761108 0.000000
55.947876 0.854000
