Angle, Distance
0.104370 0.000000
0.417480 1.382000
0.422974 0.000000
0.736084 0.000000
1.049194 0.000000
1.104126 1.300000
1.367798 0.000000
1.483154 1.292000
1.680908 0.000000
1.999512 0.000000
2.312622 0.000000
2.373047 1.298000
2.631226 0.000000
2.796021 1.178000
3.169556 1.162000
3.257446 0.000000
3.482666 1.166000
3.795776 1.164000
4.207764 0.000000
4.482422 1.112000
4.520874 0.000000
4.795532 1.100000
5.108643 1.096000
5.432739 1.098000
5.745850 1.100000
6.372070 1.112000
6.416016 0.000000
8.305664 0.000000
8.937378 0.000000
9.255981 0.000000
9.448242 0.407000
9.761353 0.405000
10.074463 0.404000
10.404053 0.405000
10.717163 0.406000
11.030273 0.405000
11.343384 0.405000
11.651001 0.406000
11.980591 0.406000
12.293701 0.407000
12.606812 0.408000
13.040771 0.000000
13.183594 0.410000
13.672485 0.000000
13.985596 0.000000
14.139404 0.414000
14.617310 0.000000
15.045776 0.382000
15.358887 0.380000
15.732422 0.378000
16.045532 0.377000
16.358643 0.375000
16.682739 0.374000
16.995850 0.374000
17.308960 0.373000
17.622070 0.373000
17.935181 0.373000
18.264771 0.374000
18.577881 0.374000
18.885498 0.375000
19.198608 0.376000
19.528198 0.377000
19.841309 0.378000
20.088501 0.380000
20.418091 0.383000
20.610352 0.000000
20.983887 0.387000
21.242065 0.000000
21.560669 0.000000
21.873779 0.000000
22.192383 0.000000
22.505493 0.000000
22.824097 0.000000
23.137207 0.000000
23.450317 0.000000
23.768921 0.000000
24.082031 0.000000
24.400635 0.000000
24.713745 0.000000
25.032349 0.000000
25.345459 0.000000
25.658569 0.000000
25.977173 0.000000
26.290283 0.000000
26.608887 0.000000
26.921997 0.000000
27.240601 0.000000
27.553711 0.000000
27.872314 0.000000
28.185425 0.000000
28.498535 0.000000
28.817139 0.000000
29.130249 0.000000
29.448853 0.000000
29.761963 0.000000
30.080566 0.000000
30.393677 0.000000
30.706787 0.000000
31.025391 0.000000
31.338501 0.000000
31.657104 0.000000
31.970215 0.000000
32.288818 0.000000
32.601929 0.000000
32.920532 0.000000
33.233643 0.000000
33.546753 0.000000
33.865356 0.000000
34.178467 0.000000
34.497070 0.000000
34.810181 0.000000
35.128784 0.000000
35.441895 0.000000
35.755005 0.000000
36.073608 0.000000
36.386719 0.000000
36.705322 0.000000
37.018433 0.000000
37.337036 0.000000
42.291870 0.170000
42.544556 0.171000
42.857666 0.171000
43.016968 0.000000
43.187256 0.171000
43.330078 0.000000
43.494873 0.171000
43.807983 0.171000
43.961792 0.000000
44.121094 0.171000
44.274902 0.000000
44.450684 0.171000
44.593506 0.000000
44.807739 0.170000
44.906616 0.000000
45.225220 0.000000
45.247192 0.168000
45.538330 0.000000
45.620728 0.167000
45.851440 0.000000
45.983276 0.166000
46.170044 0.000000
46.356812 0.165000
46.483154 0.000000
46.669922 0.164000
46.801758 0.000000
47.043457 0.163000
47.114868 0.000000
47.356567 0.163000
47.433472 0.000000
47.730103 0.162000
47.746582 0.000000
