Angle, Distance
0.000000 0.000000
0.313110 0.000000
0.626221 0.000000
0.939331 0.000000
1.252441 0.000000
1.565552 0.000000
1.730347 0.393000
1.878662 0.000000
2.043457 0.391000
2.191772 0.000000
2.416992 0.390000
2.504883 0.000000
2.669678 0.392000
2.817993 0.000000
2.982788 0.393000
3.131104 0.000000
3.295898 0.394000
3.444214 0.000000
3.609009 0.394000
3.762817 0.000000
3.916626 0.394000
4.075928 0.000000
4.246216 0.395000
4.389038 0.000000
4.702148 0.000000
5.015259 0.000000
5.328369 0.000000
5.641479 0.000000
5.954590 0.000000
6.075439 0.403000
9.091187 0.000000
9.404297 0.000000
9.717407 0.000000
10.030518 0.000000
10.343628 0.000000
10.975342 0.000000
11.288452 0.000000
11.601562 0.000000
11.914673 0.000000
12.227783 0.000000
12.540894 0.000000
12.854004 0.000000
13.167114 0.000000
13.480225 0.000000
13.793335 0.000000
14.106445 0.000000
14.425049 0.000000
14.738159 0.000000
15.051270 0.000000
15.364380 0.000000
15.677490 0.000000
15.990601 0.000000
16.303711 0.000000
16.616821 0.000000
16.929932 0.000000
17.243042 0.000000
17.556152 0.000000
17.869263 0.000000
18.187866 0.000000
18.500977 0.000000
18.814087 0.000000
19.127197 0.000000
19.440308 0.000000
19.753418 0.000000
20.066528 0.000000
20.379639 0.000000
20.692749 0.000000
21.005859 0.000000
21.318970 0.000000
21.637573 0.000000
21.950684 0.000000
22.104492 1.432000
22.263794 0.000000
22.417603 1.424000
22.576904 0.000000
22.747192 1.422000
22.890015 0.000000
23.203125 0.000000
23.373413 1.428000
23.516235 0.000000
23.686523 1.416000
23.829346 0.000000
24.142456 0.000000
24.307251 1.400000
24.455566 0.000000
24.620361 1.402000
24.768677 0.000000
24.933472 1.400000
25.081787 0.000000
25.246582 1.386000
25.400391 0.000000
25.713501 0.000000
26.026611 0.000000
26.185913 1.382000
26.339722 0.000000
26.652832 0.000000
26.965942 0.000000
27.119751 1.384000
27.279053 0.000000
27.592163 0.000000
27.905273 0.000000
28.125000 1.360000
28.218384 0.000000
28.432617 1.334000
28.531494 0.000000
28.745728 1.312000
28.850098 0.000000
29.058838 1.304000
29.371948 1.308000
29.685059 1.298000
30.058594 1.284000
30.102539 0.000000
30.371704 1.272000
30.684814 1.262000
30.997925 1.252000
31.041870 0.000000
31.311035 1.238000
31.684570 1.226000
31.997681 1.218000
32.310791 1.208000
32.612915 0.000000
32.623901 1.206000
32.926025 0.000000
32.937012 1.210000
33.552246 0.000000
33.865356 0.000000
34.491577 0.000000
34.804688 0.000000
40.138550 0.000000
40.451660 0.000000
40.764771 0.000000
41.077881 0.000000
41.390991 0.000000
41.704102 0.000000
42.154541 0.169000
42.401733 0.170000
42.670898 0.171000
42.934570 0.976000
42.984009 0.171000
43.247681 0.956000
43.291626 0.171000
43.604736 0.171000
43.621216 0.936000
43.917847 0.171000
43.934326 0.920000
44.230957 0.171000
44.296875 0.900000
44.604492 0.170000
44.604492 0.886000
45.027466 0.168000
45.401001 0.167000
45.780029 0.166000
46.137085 0.165000
46.450195 0.164000
46.823730 0.163000
47.202759 0.162000
47.510376 0.162000
47.664185 0.000000
47.872925 0.161000
47.977295 0.000000
48.603516 0.000000
48.762817 0.162000
48.916626 0.000000
49.229736 0.000000
51.427002 0.000000
51.498413 0.894000
51.740112 0.000000
51.811523 0.902000
52.053223 0.000000
52.124634 0.892000
52.366333 0.000000
52.432251 0.884000
52.679443 0.000000
52.811279 0.878000
52.992554 0.000000
53.124390 0.870000
53.305664 0.000000
53.437500 0.868000
53.618774 0.000000
53.745117 0.860000
53.931885 0.000000
54.124146 0.846000
54.250488 0.000000
54.437256 0.844000
54.563599 0.000000
54.744873 0.842000
54.876709 0.000000
55.057983 0.834000
55.189819 0.000000
55.371094 0.828000
55.502930 0.000000
55.684204 0.826000
55.816040 0.000000
55.997314 0.822000
56.129150 0.000000
56.354370 0.818000
56.442261 0.000000
56.667480 0.814000
56.755371 0.000000
56.980591 0.814000
57.068481 0.000000
57.293701 0.810000
57.381592 0.000000
57.606812 0.806000
57.700195 0.000000
57.919922 0.804000
58.233032 0.802000
58.557129 0.800000
58.870239 0.798000
59.183350 0.796000
59.545898 0.792000
59.859009 0.792000
60.166626 0.788000
60.479736 0.786000
60.792847 0.784000
61.105957 0.782000
61.419067 0.780000
61.732178 0.778000
62.045288 0.776000
62.358398 0.774000
62.682495 0.772000
62.995605 0.770000
63.358154 0.768000
63.671265 0.766000
63.984375 0.764000
64.291992 0.762000
64.605103 0.760000
64.918213 0.758000
65.231323 0.758000
65.544434 0.758000
65.857544 0.756000
66.170654 0.754000
66.483765 0.752000
66.796875 0.750000
67.120972 0.748000
67.434082 0.746000
67.796631 0.744000
68.104248 0.742000
68.417358 0.742000
68.730469 0.742000
69.043579 0.740000
69.356689 0.738000
69.669800 0.736000
69.982910 0.736000
70.296021 0.734000
70.609131 0.734000
70.916748 0.732000
71.246338 0.730000
71.559448 0.730000
71.872559 0.730000
72.185669 0.728000
72.498779 0.728000
72.811890 0.726000
73.125000 0.726000
73.432617 0.724000
73.745728 0.724000
74.108276 0.722000
74.421387 0.722000
74.745483 0.720000
75.058594 0.720000
75.371704 0.720000
75.684814 0.720000
75.997925 0.718000
76.311035 0.718000
76.624146 0.716000
76.937256 0.716000
77.244873 0.716000
77.557983 0.714000
77.871094 0.714000
78.184204 0.712000
78.497314 0.712000
78.810425 0.712000
79.123535 0.710000
79.436646 0.710000
79.749756 0.712000
80.057373 0.714000
80.700073 0.718000
86.550293 0.000000
87.176514 0.000000
87.489624 0.000000
87.802734 0.000000
88.115845 0.000000
88.428955 0.000000
88.742065 0.000000
89.055176 0.000000
89.368286 0.000000
89.681396 0.000000
90.000000 0.000000
90.313110 0.000000
90.626221 0.000000
90.939331 0.000000
91.252441 0.000000
91.565552 0.000000
91.878662 0.000000
92.191772 0.000000
92.504883 0.000000
92.817993 0.000000
93.131104 0.000000
93.444214 0.000000
93.762817 0.000000
94.075928 0.000000
94.389038 0.000000
94.702148 0.000000
95.015259 0.000000
95.328369 0.000000
95.641479 0.000000
95.954590 0.000000
96.267700 0.000000
96.580811 0.000000
96.893921 0.000000
97.212524 0.000000
97.525635 0.000000
97.838745 0.000000
98.151855 0.000000
98.464966 0.000000
98.778076 0.000000
99.091187 0.000000
99.404297 0.000000
99.717407 0.000000
100.030518 0.000000
100.343628 0.000000
100.656738 0.000000
100.975342 0.000000
101.288452 0.000000
101.601562 0.000000
101.914673 0.000000
102.227783 0.000000
102.540894 0.000000
102.854004 0.000000
103.167114 0.000000
103.480225 0.000000
103.793335 0.000000
104.106445 0.000000
104.425049 0.000000
104.738159 0.000000
105.051270 0.000000
105.364380 0.000000
105.677490 0.000000
105.990601 0.000000
106.303711 0.000000
106.616821 0.000000
106.929932 0.000000
107.243042 0.000000
107.556152 0.000000
107.869263 0.000000
108.187866 0.000000
108.500977 0.000000
108.814087 0.000000
109.127197 0.000000
109.440308 0.000000
109.753418 0.000000
110.066528 0.000000
110.379639 0.000000
110.692749 0.000000
111.005859 0.000000
111.318970 0.000000
111.637573 0.000000
111.950684 0.000000
112.263794 0.000000
112.576904 0.000000
112.890015 0.000000
113.203125 0.000000
113.516235 0.000000
113.829346 0.000000
114.142456 0.000000
114.455566 0.000000
114.768677 0.000000
115.081787 0.000000
115.400391 0.000000
115.713501 0.000000
116.026611 0.000000
116.339722 0.000000
116.652832 0.000000
116.965942 0.000000
117.279053 0.000000
117.592163 0.000000
117.905273 0.000000
118.218384 0.000000
118.531494 0.000000
118.850098 0.000000
119.163208 0.000000
119.476318 0.000000
119.789429 0.000000
120.102539 0.000000
120.415649 0.000000
120.728760 0.000000
121.041870 0.000000
121.354980 0.000000
121.668091 0.000000
121.981201 0.000000
122.294312 0.000000
122.612915 0.000000
122.926025 0.000000
123.239136 0.000000
123.552246 0.000000
123.865356 0.000000
124.178467 0.000000
124.491577 0.000000
124.804688 0.000000
125.117798 0.000000
125.430908 0.000000
125.744019 0.000000
126.062622 0.000000
126.375732 0.000000
126.688843 0.000000
127.001953 0.000000
127.315063 0.000000
127.628174 0.000000
127.941284 0.000000
128.254395 0.000000
128.567505 0.000000
128.880615 0.000000
129.193726 0.000000
129.506836 0.000000
129.825439 0.000000
130.138550 0.000000
130.451660 0.000000
130.764771 0.000000
131.077881 0.000000
131.390991 0.000000
131.704102 0.000000
132.017212 0.000000
132.330322 0.000000
132.643433 0.000000
132.956543 0.000000
133.275146 0.000000
133.588257 0.000000
133.901367 0.000000
134.214478 0.000000
134.527588 0.000000
134.840698 0.000000
135.153809 0.000000
135.466919 0.000000
135.780029 0.000000
136.093140 0.000000
136.406250 0.000000
136.719360 0.000000
137.010498 0.716000
137.037964 0.000000
137.340088 0.708000
137.351074 0.000000
137.664185 0.000000
137.702637 0.696000
137.977295 0.000000
138.010254 0.686000
138.290405 0.000000
138.389282 0.678000
138.603516 0.000000
138.702393 0.670000
138.916626 0.000000
139.075928 0.660000
139.229736 0.000000
139.389038 0.652000
139.542847 0.000000
139.746094 0.642000
139.855957 0.000000
140.075684 0.634000
140.169067 0.000000
140.432739 0.626000
140.487671 0.000000
140.745850 0.620000
140.800781 0.000000
141.113892 0.000000
141.124878 0.614000
141.427002 0.000000
141.432495 0.612000
141.740112 0.000000
141.745605 0.610000
142.053223 0.000000
142.058716 0.608000
142.366333 0.000000
142.371826 0.606000
142.679443 0.000000
142.684937 0.604000
142.992554 0.000000
143.014526 0.602000
143.371582 0.596000
143.684692 0.594000
143.997803 0.594000
144.327393 0.594000
144.640503 0.588000
144.997559 0.584000
145.310669 0.582000
145.623779 0.582000
145.947876 0.580000
146.260986 0.578000
146.574097 0.578000
146.887207 0.576000
147.200317 0.574000
147.513428 0.572000
147.826538 0.572000
148.200073 0.570000
148.452759 0.572000
148.760376 0.572000
149.139404 0.568000
149.452515 0.564000
149.765625 0.562000
150.073242 0.562000
150.386353 0.562000
150.715942 0.562000
151.029053 0.560000
151.386108 0.556000
151.699219 0.556000
152.028809 0.554000
152.341919 0.554000
152.655029 0.552000
152.968140 0.550000
153.281250 0.550000
153.588867 0.548000
153.967896 0.546000
154.281006 0.544000
154.588623 0.544000
154.901733 0.542000
155.214844 0.540000
155.527954 0.540000
155.841064 0.540000
156.154175 0.538000
156.467285 0.536000
156.796875 0.536000
157.153931 0.534000
157.467041 0.534000
157.780151 0.534000
158.093262 0.534000
158.417358 0.532000
158.730469 0.530000
159.043579 0.530000
159.356689 0.530000
159.669800 0.530000
159.982910 0.528000
160.296021 0.528000
160.609131 0.528000
160.916748 0.526000
161.229858 0.524000
161.608887 0.522000
161.916504 0.522000
162.229614 0.520000
162.542725 0.518000
162.872314 0.518000
163.185425 0.516000
163.498535 0.516000
163.811646 0.516000
164.124756 0.514000
164.432373 0.514000
164.745483 0.514000
165.124512 0.512000
165.432129 0.512000
165.745239 0.512000
166.058350 0.512000
166.371460 0.510000
166.684570 0.511000
166.997681 0.510000
167.310791 0.509000
167.623901 0.509000
167.937012 0.508000
168.261108 0.508000
168.574219 0.507000
168.887329 0.507000
169.200439 0.507000
169.513550 0.506000
169.826660 0.506000
170.139771 0.506000
170.452881 0.506000
170.760498 0.505000
171.073608 0.505000
171.386719 0.505000
171.699829 0.505000
172.029419 0.505000
172.342529 0.504000
172.655640 0.504000
172.968750 0.504000
173.276367 0.504000
173.589478 0.504000
173.902588 0.503000
174.215698 0.503000
174.528809 0.503000
174.841919 0.503000
175.155029 0.503000
175.468140 0.503000
175.792236 0.503000
176.105347 0.503000
176.418457 0.503000
176.731567 0.503000
177.044678 0.503000
177.357788 0.503000
177.670898 0.503000
177.984009 0.504000
178.291626 0.504000
178.604736 0.503000
178.917847 0.504000
179.230957 0.503000
179.560547 0.503000
179.873657 0.503000
180.186768 0.504000
180.499878 0.504000
180.807495 0.504000
181.120605 0.504000
181.433716 0.505000
181.746826 0.505000
182.059937 0.505000
182.373047 0.506000
182.686157 0.506000
182.999268 0.506000
183.323364 0.506000
183.636475 0.506000
183.949585 0.507000
184.262695 0.508000
184.575806 0.508000
184.888916 0.509000
185.202026 0.511000
185.822754 0.511000
186.135864 0.511000
186.448975 0.509000
186.762085 0.510000
187.091675 0.512000
187.404785 0.512000
187.717896 0.512000
188.031006 0.512000
188.338623 0.512000
188.591309 0.514000
188.904419 0.514000
189.234009 0.516000
189.541626 0.516000
189.854736 0.516000
190.167847 0.516000
190.480957 0.518000
190.794067 0.518000
190.975342 0.000000
191.107178 0.520000
191.420288 0.522000
191.683960 0.524000
191.997070 0.526000
192.310181 0.526000
192.623291 0.526000
192.936401 0.528000
193.249512 0.528000
193.557129 0.530000
193.870239 0.528000
194.183350 0.528000
194.496460 0.530000
194.809570 0.530000
195.122681 0.530000
195.435791 0.532000
195.748901 0.534000
196.062012 0.534000
196.325684 0.536000
196.638794 0.538000
196.951904 0.540000
197.265015 0.544000
197.885742 0.546000
201.890259 0.550000
202.197876 0.552000
202.510986 0.554000
202.824097 0.556000
203.137207 0.558000
203.203125 0.000000
203.400879 0.560000
203.713989 0.562000
203.829346 0.000000
204.027100 0.566000
204.142456 0.000000
204.340210 0.568000
204.455566 0.000000
204.653320 0.570000
204.768677 0.000000
204.906006 0.572000
205.081787 0.000000
205.213623 0.572000
205.400391 0.000000
205.526733 0.574000
205.713501 0.000000
205.839844 0.576000
206.026611 0.000000
206.152954 0.578000
206.339722 0.000000
206.466064 0.580000
206.652832 0.000000
206.779175 0.582000
206.965942 0.000000
207.092285 0.584000
207.279053 0.000000
207.339478 0.586000
207.652588 0.588000
207.965698 0.590000
208.278809 0.590000
208.591919 0.594000
208.905029 0.596000
209.218140 0.598000
209.481812 0.600000
209.794922 0.600000
210.108032 0.602000
210.421143 0.606000
210.734253 0.608000
211.041870 0.610000
211.354980 0.612000
211.668091 0.614000
211.920776 0.618000
212.233887 0.620000
212.541504 0.622000
212.854614 0.624000
213.167725 0.626000
213.436890 0.632000
213.750000 0.638000
214.370728 0.640000
220.138550 0.000000
220.764771 0.000000
221.077881 0.000000
221.390991 0.000000
221.704102 0.000000
222.017212 0.000000
222.330322 0.000000
222.643433 0.000000
222.956543 0.000000
223.275146 0.000000
223.588257 0.000000
223.901367 0.000000
224.214478 0.000000
224.527588 0.000000
224.840698 0.000000
225.153809 0.000000
225.466919 0.000000
225.780029 0.000000
226.093140 0.000000
226.406250 0.000000
226.719360 0.000000
227.037964 0.000000
227.351074 0.000000
227.664185 0.000000
227.977295 0.000000
228.290405 0.000000
228.603516 0.000000
228.916626 0.000000
229.229736 0.000000
229.542847 0.000000
229.855957 0.000000
230.169067 0.000000
230.487671 0.000000
230.800781 0.000000
231.113892 0.000000
231.427002 0.000000
231.740112 0.000000
232.053223 0.000000
232.366333 0.000000
232.679443 0.000000
232.992554 0.000000
233.305664 0.000000
233.618774 0.000000
233.931885 0.000000
234.250488 0.000000
234.563599 0.000000
234.876709 0.000000
235.189819 0.000000
235.502930 0.000000
235.816040 0.000000
236.129150 0.000000
236.442261 0.000000
236.755371 0.000000
237.068481 0.000000
237.381592 0.000000
237.700195 0.000000
238.013306 0.000000
238.326416 0.000000
238.639526 0.000000
238.952637 0.000000
239.265747 0.000000
239.578857 0.000000
239.891968 0.000000
240.205078 0.000000
240.518188 0.000000
240.831299 0.000000
241.144409 0.000000
241.463013 0.000000
241.776123 0.000000
242.089233 0.000000
242.402344 0.000000
242.715454 0.000000
243.028564 0.000000
243.341675 0.000000
243.654785 0.000000
243.967896 0.000000
244.281006 0.000000
244.594116 0.000000
244.912720 0.000000
245.225830 0.000000
245.538940 0.000000
245.852051 0.000000
246.165161 0.000000
246.478271 0.000000
246.791382 0.000000
247.104492 0.000000
247.417603 0.000000
247.730713 0.000000
248.043823 0.000000
248.356934 0.000000
248.675537 0.000000
248.988647 0.000000
249.301758 0.000000
249.614868 0.000000
249.927979 0.000000
250.241089 0.000000
250.554199 0.000000
250.867310 0.000000
251.180420 0.000000
251.493530 0.000000
251.806641 0.000000
252.125244 0.000000
252.438354 0.000000
252.751465 0.000000
253.064575 0.000000
253.377686 0.000000
253.690796 0.000000
254.003906 0.000000
254.317017 0.000000
254.630127 0.000000
254.943237 0.000000
255.256348 0.000000
255.569458 0.000000
255.888062 0.000000
256.201172 0.000000
256.514282 0.000000
256.827393 0.000000
257.140503 0.000000
257.453613 0.000000
257.766724 0.000000
258.079834 0.000000
258.392944 0.000000
258.706055 0.000000
259.019165 0.000000
259.337769 0.000000
