time,x,y,theta
26000.00000,0.99976,0.39910,2.16109
52000.00000,0.99976,0.39910,2.16109
78000.00000,0.99915,0.40012,2.16109
104000.00000,0.99915,0.40012,2.16109
130000.00000,0.99915,0.40012,2.27819
156000.00000,0.99915,0.40012,2.27819
182000.00000,0.99915,0.40012,2.27819
208000.00000,0.99549,0.40012,2.27819
234000.00000,0.99549,0.40495,2.27819
260000.00000,0.99549,0.40495,2.27819
286000.00000,0.99549,0.40495,2.48683
312000.00000,0.99549,0.40495,2.48683
338000.00000,0.99549,0.40495,2.48683
364000.00000,0.97582,0.42361,2.48683
390000.00000,0.97582,0.42361,2.48683
416000.00000,0.97582,0.42361,2.61722
442000.00000,0.97582,0.42361,2.61722
468000.00000,0.97582,0.42361,2.61722
494000.00000,0.94312,0.42361,2.61722
520000.00000,0.94312,0.44548,2.61722
546000.00000,0.94312,0.44548,2.61722
572000.00000,0.94312,0.44548,2.58835
598000.00000,0.94312,0.44548,2.58835
624000.00000,0.94312,0.44548,2.58835
650000.00000,0.90500,0.46827,2.58835
676000.00000,0.90500,0.46827,2.58835
702000.00000,0.90500,0.46827,2.50842
728000.00000,0.90500,0.46827,2.50842
754000.00000,0.90500,0.46827,2.50842
780000.00000,0.87140,0.46827,2.50842
806000.00000,0.87140,0.49092,2.50842
832000.00000,0.87140,0.49092,2.50842
858000.00000,0.87140,0.49092,2.44966
884000.00000,0.87140,0.49092,2.44966
910000.00000,0.87140,0.49092,2.44966
936000.00000,0.84275,0.51327,2.44966
962000.00000,0.84275,0.51327,2.44966
988000.00000,0.84275,0.51327,2.43037
1014000.00000,0.84275,0.51327,2.43037
1040000.00000,0.84275,0.51327,2.43037
1066000.00000,0.81526,0.51327,2.43037
1092000.00000,0.81526,0.53651,2.43037
1118000.00000,0.81526,0.53651,2.43037
1144000.00000,0.81526,0.53651,2.45857
1170000.00000,0.81526,0.53651,2.45857
1196000.00000,0.81526,0.53651,2.45857
1222000.00000,0.78642,0.56065,2.45857
1248000.00000,0.78642,0.56065,2.45857
1274000.00000,0.78642,0.56065,2.52609
1300000.00000,0.78642,0.56065,2.52609
1326000.00000,0.78642,0.56065,2.52609
1352000.00000,0.75475,0.56065,2.52609
1378000.00000,0.75475,0.58469,2.52609
1404000.00000,0.75475,0.58469,2.52609
1430000.00000,0.75475,0.58469,2.58053
1456000.00000,0.75475,0.58469,2.58053
1482000.00000,0.75475,0.58469,2.58053
1508000.00000,0.72037,0.60763,2.58053
1534000.00000,0.72037,0.60763,2.58053
1560000.00000,0.72037,0.60763,2.56791
1586000.00000,0.72037,0.60763,2.56791
