Angle, Distance
0.186768 0.000000
0.521851 0.000000
0.856934 0.000000
1.296387 5.464000
1.636963 5.360000
1.867676 0.000000
2.307129 6.064000
2.636719 6.080000
2.982788 6.096000
3.312378 6.096000
3.652954 6.104000
3.982544 6.128000
4.323120 6.128000
4.652710 6.112000
4.998779 6.136000
5.322876 6.128000
5.652466 6.120000
5.932617 6.152000
6.278687 6.160000
6.608276 6.208000
6.904907 0.000000
7.239990 0.000000
7.624512 7.792000
7.910156 0.000000
8.854980 1.848000
9.184570 1.844000
9.250488 0.000000
9.530640 1.848000
9.926147 0.000000
10.184326 1.858000
10.261230 0.000000
10.596313 0.000000
10.931396 0.000000
11.266479 0.000000
11.590576 9.064000
11.920166 9.040000
12.260742 9.064000
12.590332 9.104000
12.936401 9.088000
13.282471 0.000000
13.826294 3.676000
13.952637 0.000000
14.293213 0.000000
14.716187 5.208000
14.963379 0.000000
15.298462 0.000000
15.842285 3.620000
16.062012 5.092000
16.303711 0.000000
16.732178 5.104000
16.979370 0.000000
17.314453 0.000000
17.649536 0.000000
18.078003 5.064000
18.319702 0.000000
18.748169 5.056000
18.989868 0.000000
19.467773 4.848000
19.808350 4.816000
20.000610 0.000000
20.335693 0.000000
20.917969 3.472000
21.137695 4.724000
21.483765 4.712000
21.807861 4.704000
22.153931 4.688000
22.483521 4.632000
22.824097 4.576000
23.021851 0.000000
23.356934 0.000000
23.823853 4.592000
24.027100 0.000000
24.367676 0.000000
24.823608 4.576000
25.169678 4.568000
25.499268 4.568000
25.839844 4.560000
26.169434 4.544000
26.515503 4.528000
26.839600 4.496000
27.053833 0.000000
27.388916 0.000000
27.723999 0.000000
28.059082 0.000000
28.515015 4.456000
28.855591 4.440000
29.185181 4.432000
29.531250 4.424000
29.855347 4.400000
30.201416 4.392000
30.410156 0.000000
30.871582 4.376000
31.311035 3.104000
31.651611 3.096000
31.981201 3.092000
32.327271 3.084000
32.651367 3.076000
33.046875 3.052000
33.096313 0.000000
33.431396 0.000000
34.057617 3.028000
34.387207 3.028000
34.716797 3.024000
35.057373 3.016000
35.386963 3.000000
35.447388 0.000000
36.057129 2.992000
36.117554 0.000000
36.452637 0.000000
36.793213 8.048000
37.122803 8.048000
37.463379 0.000000
37.968750 3.956000
38.292847 3.964000
38.638916 3.972000
38.968506 3.976000
39.309082 3.964000
39.638672 3.948000
39.979248 3.960000
40.308838 3.972000
40.484619 0.000000
41.044922 3.424000
41.374512 3.416000
41.698608 3.408000
42.044678 3.400000
42.374268 3.392000
42.714844 3.376000
43.044434 3.364000
43.390503 3.360000
43.714600 3.352000
44.044189 3.332000
44.390259 3.316000
44.714355 3.320000
45.060425 3.312000
45.390015 3.304000
45.730591 3.300000
46.060181 3.284000
46.389771 3.260000
46.730347 3.252000
47.059937 3.252000
47.406006 3.240000
47.730103 3.236000
48.076172 3.232000
48.405762 3.216000
48.729858 3.208000
49.075928 3.196000
49.405518 3.188000
49.746094 3.176000
50.075684 3.172000
50.421753 3.172000
50.745850 3.156000
51.075439 3.144000
51.421509 3.144000
51.745605 3.132000
52.091675 3.116000
52.421265 3.108000
52.761841 3.104000
53.091431 3.100000
53.421021 3.096000
53.761597 3.092000
54.091187 3.100000
54.437256 3.124000
54.761353 3.164000
55.107422 3.208000
55.261230 0.000000
55.717163 3.656000
56.046753 3.676000
56.387329 3.676000
56.716919 3.672000
57.057495 3.656000
57.387085 3.644000
57.716675 3.640000
58.057251 3.640000
58.386841 3.628000
58.732910 3.620000
59.062500 3.612000
59.386597 3.608000
59.732666 3.596000
60.062256 3.576000
60.298462 0.000000
60.633545 0.000000
61.072998 3.588000
61.303711 0.000000
61.572876 7.888000
61.902466 8.056000
62.248535 8.096000
62.649536 0.000000
62.902222 8.064000
63.319702 0.000000
63.577881 7.568000
63.918457 7.576000
64.330444 0.000000
64.665527 0.000000
64.918213 7.632000
65.247803 7.616000
65.670776 0.000000
65.917969 7.520000
66.264038 7.480000
66.676025 0.000000
66.934204 7.488000
67.263794 7.456000
67.593384 7.352000
67.933960 7.336000
68.356934 0.000000
68.692017 0.000000
69.027100 0.000000
69.367676 0.000000
69.702759 0.000000
69.933472 7.808000
70.389404 4.744000
70.713501 4.720000
71.059570 4.696000
71.389160 4.648000
71.729736 4.632000
72.059326 4.656000
72.388916 0.000000
72.723999 0.000000
73.059082 4.712000
73.295288 7.504000
73.624878 7.432000
73.965454 7.384000
74.404907 0.000000
74.739990 0.000000
74.965210 7.448000
75.410156 0.000000
75.745239 0.000000
76.080322 0.000000
76.311035 6.768000
76.750488 0.000000
76.964722 6.760000
77.426147 0.000000
77.761230 0.000000
77.980957 7.512000
78.431396 0.000000
78.766479 0.000000
78.980713 7.480000
79.442139 0.000000
79.777222 0.000000
80.112305 0.000000
80.447388 0.000000
80.782471 0.000000
81.117554 0.000000
81.452637 0.000000
81.793213 0.000000
82.128296 0.000000
82.463379 0.000000
82.798462 0.000000
82.996216 7.344000
83.468628 0.000000
83.803711 0.000000
83.995972 7.424000
84.342041 7.456000
84.671631 7.416000
85.012207 7.416000
85.341797 7.416000
85.671387 7.416000
86.011963 7.344000
86.341553 7.312000
86.830444 0.000000
87.011719 7.416000
87.500610 0.000000
87.835693 0.000000
88.011475 7.128000
88.357544 7.152000
88.687134 7.376000
89.027710 7.472000
89.516602 0.000000
89.983521 2.976000
90.307617 2.996000
90.637207 3.060000
90.917358 3.128000
91.263428 3.192000
91.593018 3.256000
91.917114 3.312000
92.263184 3.400000
92.537842 0.000000
95.729370 0.429000
96.058960 0.425000
96.448975 0.423000
96.795044 0.421000
97.124634 0.420000
97.465210 0.419000
97.794800 0.418000
98.124390 0.417000
98.464966 0.417000
98.580322 0.000000
98.794556 0.419000
98.915405 0.000000
99.140625 0.419000
99.464722 0.419000
99.591064 0.000000
99.810791 0.419000
99.926147 0.000000
100.140381 0.421000
100.261230 0.000000
100.464478 0.423000
100.596313 0.000000
100.744629 0.424000
100.931396 0.000000
101.090698 0.427000
101.266479 0.000000
101.601562 0.000000
101.942139 0.000000
102.090454 0.431000
102.277222 0.000000
102.612305 0.000000
102.947388 0.000000
103.282471 0.000000
103.617554 0.000000
104.155884 2.392000
104.479980 2.388000
104.809570 2.368000
105.155640 2.352000
105.479736 2.344000
105.825806 2.324000
106.155396 2.312000
106.495972 2.300000
106.825562 2.280000
107.171631 2.288000
107.495728 2.288000
107.825317 2.264000
108.171387 2.252000
108.495483 2.240000
108.885498 2.228000
109.231567 2.216000
109.561157 2.204000
109.901733 2.196000
110.231323 2.184000
110.560913 2.176000
110.901489 2.168000
111.231079 2.176000
111.577148 2.200000
111.901245 2.212000
112.247314 2.212000
112.576904 2.216000
112.917480 2.220000
113.247070 2.228000
113.527222 2.240000
113.692017 0.000000
114.027100 0.000000
114.367676 0.000000
114.702759 0.000000
115.037842 0.000000
115.372925 0.000000
115.708008 0.000000
116.043091 0.000000
116.378174 0.000000
116.713257 0.000000
117.053833 0.000000
117.388916 0.000000
117.723999 0.000000
118.059082 0.000000
118.394165 0.000000
118.729248 0.000000
119.064331 0.000000
119.404907 0.000000
119.739990 0.000000
120.075073 0.000000
120.624390 2.076000
120.948486 2.080000
121.278076 2.080000
121.624146 2.092000
121.948242 2.096000
122.294312 2.096000
122.623901 2.100000
122.964478 2.100000
123.294067 2.104000
123.640137 2.104000
123.964233 2.096000
124.293823 2.096000
124.639893 2.096000
124.963989 2.092000
125.310059 2.092000
125.639648 2.096000
125.980225 2.096000
126.309814 2.096000
126.639404 2.092000
126.979980 2.092000
127.309570 2.092000
127.655640 2.088000
127.979736 2.088000
128.325806 2.088000
128.655396 2.092000
128.995972 2.096000
129.325562 2.096000
129.655151 2.096000
129.995728 2.092000
130.325317 2.092000
130.671387 2.092000
130.995483 2.096000
131.341553 2.104000
131.671143 2.104000
131.995239 2.108000
132.341309 2.108000
132.670898 2.108000
133.011475 2.116000
133.341064 2.116000
133.687134 2.108000
134.011230 2.112000
134.357300 2.112000
134.686890 2.116000
135.010986 2.116000
135.357056 2.108000
135.686646 2.112000
136.027222 2.120000
136.356812 2.120000
136.702881 2.116000
137.026978 2.124000
137.356567 2.132000
137.702637 2.140000
138.026733 2.136000
138.372803 2.132000
138.702393 2.136000
139.042969 2.140000
139.372559 2.144000
139.718628 2.148000
140.042725 2.152000
140.388794 2.148000
140.718384 2.148000
140.894165 0.000000
141.229248 0.000000
141.729126 2.156000
141.904907 0.000000
145.936890 0.332000
146.260986 0.331000
146.607056 0.329000
146.936646 0.328000
147.326660 0.326000
147.667236 0.325000
147.996826 0.325000
148.342896 0.324000
148.732910 0.323000
149.062500 0.323000
149.403076 0.322000
149.732666 0.321000
150.073242 0.321000
150.402832 0.320000
150.792847 0.318000
151.138916 0.316000
151.528931 0.315000
151.858521 0.314000
152.199097 0.313000
152.314453 0.000000
152.589111 0.311000
152.918701 0.310000
152.984619 0.000000
153.264771 0.308000
153.319702 0.000000
153.654785 0.306000
153.654785 0.000000
153.984375 0.304000
153.989868 0.000000
154.330444 0.000000
154.374390 0.302000
154.665527 0.000000
154.714966 0.300000
