Angle, Distance
0.126343 0.000000
0.433960 8.216000
0.796509 0.000000
1.137085 0.000000
1.472168 0.000000
1.812744 0.000000
2.147827 0.000000
2.488403 0.000000
2.823486 0.000000
3.158569 0.000000
3.559570 5.344000
3.834229 0.000000
4.229736 6.072000
4.575806 6.064000
4.905396 6.064000
5.245972 6.072000
5.575562 6.080000
5.921631 6.072000
6.245728 6.064000
6.575317 6.080000
6.921387 6.112000
7.245483 6.120000
7.591553 6.096000
7.921143 6.096000
8.223267 0.000000
8.591309 6.144000
8.898926 0.000000
9.777832 1.826000
9.909668 0.000000
10.107422 1.834000
10.244751 0.000000
10.585327 0.000000
10.920410 0.000000
11.255493 0.000000
11.596069 0.000000
11.931152 0.000000
12.271729 0.000000
12.606812 0.000000
12.947388 0.000000
13.282471 0.000000
13.617554 0.000000
13.958130 0.000000
14.293213 0.000000
14.633789 0.000000
14.968872 0.000000
15.309448 0.000000
15.644531 0.000000
15.979614 0.000000
16.320190 0.000000
16.671753 5.128000
16.995850 0.000000
17.330933 0.000000
17.792358 3.532000
18.006592 0.000000
18.341675 0.000000
18.682251 5.072000
19.028320 5.080000
19.357910 5.048000
19.698486 5.032000
20.028076 0.000000
20.368652 0.000000
20.698242 5.056000
21.044312 0.000000
21.379395 0.000000
21.719971 0.000000
22.104492 4.752000
22.434082 4.712000
22.780151 4.704000
23.104248 4.680000
23.450317 4.656000
23.796387 4.632000
24.076538 0.000000
24.417114 0.000000
24.752197 0.000000
25.092773 0.000000
25.466309 4.592000
25.812378 4.568000
26.136475 4.560000
26.482544 4.560000
26.812134 4.552000
27.152710 4.552000
27.454834 0.000000
27.932739 3.228000
28.130493 0.000000
28.465576 0.000000
28.839111 4.432000
29.168701 4.432000
29.514771 4.432000
29.838867 4.440000
30.184937 4.424000
30.514526 4.408000
30.855103 4.392000
31.162720 0.000000
31.503296 0.000000
31.838379 0.000000
32.178955 0.000000
32.530518 4.304000
32.871094 4.296000
33.200684 4.312000
33.546753 4.312000
33.870850 4.304000
34.216919 4.296000
34.541016 0.000000
34.887085 4.288000
35.211182 0.000000
35.551758 0.000000
36.057129 2.952000
36.403198 2.960000
36.732788 2.956000
37.073364 2.944000
37.419434 2.940000
37.749023 2.932000
38.089600 2.924000
38.419189 2.916000
38.765259 2.904000
39.089355 2.900000
39.435425 2.892000
39.600220 0.000000
40.105591 2.884000
40.275879 0.000000
40.610962 0.000000
40.951538 0.000000
41.105347 8.512000
41.621704 0.000000
41.901855 5.352000
42.231445 5.424000
42.637939 0.000000
43.077393 3.364000
43.417969 3.356000
43.747559 3.344000
44.093628 3.328000
44.417725 3.320000
44.763794 3.316000
45.093384 3.308000
45.433960 3.296000
45.763550 3.284000
46.104126 3.268000
46.433716 3.260000
46.779785 3.252000
47.109375 3.244000
47.449951 3.240000
47.779541 3.236000
48.120117 3.228000
48.449707 3.212000
48.795776 3.208000
49.119873 3.204000
49.465942 3.192000
49.795532 3.184000
50.136108 3.176000
50.465698 3.160000
50.811768 3.148000
51.152344 3.140000
51.481934 3.132000
51.828003 3.120000
52.152100 3.116000
52.498169 3.108000
52.827759 3.096000
53.168335 3.088000
53.497925 3.084000
53.887939 3.072000
54.234009 3.056000
54.558105 3.048000
54.904175 3.044000
55.233765 3.036000
55.574341 3.032000
55.903931 3.028000
56.250000 3.020000
56.574097 3.012000
56.920166 3.004000
57.249756 2.996000
57.590332 2.984000
57.936401 2.972000
58.260498 2.964000
58.606567 2.956000
58.936157 2.960000
59.276733 2.988000
59.606323 3.024000
59.952393 3.056000
60.232544 3.092000
60.518188 0.000000
60.842285 3.552000
61.182861 3.544000
61.512451 3.532000
61.858521 3.520000
62.182617 3.520000
62.528687 3.532000
62.880249 0.000000
63.198853 3.536000
63.555908 0.000000
63.890991 0.000000
64.044800 8.152000
64.374390 8.136000
64.714966 8.048000
65.044556 8.032000
65.390625 8.008000
65.714722 8.008000
66.060791 8.000000
66.593628 0.000000
66.730957 6.288000
67.060547 6.216000
67.450562 6.136000
67.796631 6.112000
68.120728 6.104000
68.466797 6.072000
68.796387 6.096000
69.136963 6.128000
69.417114 6.160000
69.807129 6.112000
70.136719 6.048000
70.482788 6.024000
70.977173 0.000000
71.152954 6.024000
71.652832 0.000000
71.762695 7.672000
72.108765 7.680000
72.449341 7.672000
72.778931 7.616000
73.125000 7.600000
73.674316 0.000000
74.014893 0.000000
74.349976 0.000000
74.690552 0.000000
75.025635 0.000000
75.135498 7.592000
75.701294 0.000000
76.036377 0.000000
76.135254 7.504000
76.712036 0.000000
77.052612 0.000000
77.387695 0.000000
77.481079 7.456000
77.827148 7.488000
78.151245 7.504000
78.497314 7.512000
79.074097 0.000000
79.167480 7.496000
79.497070 6.776000
80.084839 0.000000
80.167236 6.792000
80.760498 0.000000
81.101074 0.000000
81.183472 7.456000
81.513062 7.448000
82.111816 0.000000
82.183228 7.448000
82.787476 0.000000
83.122559 0.000000
83.463135 0.000000
83.798218 0.000000
84.133301 0.000000
84.473877 0.000000
84.808960 0.000000
85.149536 0.000000
85.198975 6.152000
85.819702 0.000000
86.160278 0.000000
86.495361 0.000000
86.544800 7.400000
86.885376 7.392000
87.214966 7.416000
87.561035 7.408000
87.890625 7.376000
88.231201 7.368000
88.560791 7.352000
89.197998 0.000000
89.230957 7.352000
89.873657 0.000000
89.901123 7.416000
90.247192 7.408000
90.576782 7.408000
90.917358 7.392000
91.246948 7.376000
91.593018 7.376000
91.917114 7.400000
92.263184 7.424000
92.905884 0.000000
93.213501 2.924000
93.543091 2.920000
93.922119 0.000000
94.169312 3.084000
94.498901 3.144000
94.839478 3.204000
95.169067 3.280000
95.498657 3.360000
95.943604 0.000000
96.284180 0.000000
96.514893 3.436000
96.954346 0.000000
97.245483 2.992000
97.575073 2.956000
97.904663 2.920000
98.305664 0.000000
98.574829 2.904000
98.981323 0.000000
102.496948 0.369000
102.886963 0.367000
103.233032 0.365000
103.557129 0.364000
103.903198 0.363000
104.232788 0.362000
104.622803 0.361000
104.963379 0.360000
105.292969 0.361000
105.573120 0.363000
105.919189 0.363000
106.067505 0.000000
106.248779 0.363000
106.402588 0.000000
106.589355 0.363000
106.743164 0.000000
106.918945 0.364000
107.078247 0.000000
107.265015 0.365000
107.413330 0.000000
107.589111 0.366000
107.753906 0.000000
107.874756 0.368000
108.088989 0.000000
108.215332 0.370000
108.429565 0.000000
108.479004 0.373000
108.764648 0.000000
108.825073 0.378000
109.105225 0.000000
109.440308 0.000000
109.775391 0.000000
110.115967 0.000000
110.451050 0.000000
110.791626 0.000000
111.126709 0.000000
111.467285 2.244000
111.857300 2.232000
112.186890 2.228000
112.527466 2.228000
112.873535 2.220000
113.203125 2.212000
113.488770 0.000000
113.873291 2.212000
114.164429 0.000000
114.499512 0.000000
114.840088 0.000000
115.175171 0.000000
115.515747 0.000000
115.850830 0.000000
116.185913 0.000000
116.526489 0.000000
116.861572 0.000000
117.202148 0.000000
117.537231 0.000000
117.872314 0.000000
118.212891 0.000000
118.547974 0.000000
118.888550 0.000000
119.223633 0.000000
119.564209 0.000000
119.899292 0.000000
120.234375 0.000000
120.607910 2.052000
120.948486 2.060000
121.278076 2.060000
121.624146 2.068000
121.948242 2.076000
122.294312 2.068000
122.640381 2.072000
122.964478 2.076000
123.310547 2.076000
123.640137 2.080000
123.980713 2.076000
124.310303 2.076000
124.650879 2.076000
124.980469 2.076000
125.326538 2.076000
125.667114 2.068000
125.996704 2.068000
126.342773 2.068000
126.666870 2.068000
127.012939 2.072000
127.342529 2.068000
127.683105 2.068000
128.012695 2.068000
128.358765 2.064000
128.671875 0.000000
129.028931 2.068000
129.347534 0.000000
129.682617 0.000000
133.621216 0.327000
134.011230 0.323000
134.357300 0.320000
134.796753 0.314000
135.247192 0.305000
135.703125 0.298000
136.093140 0.293000
136.483154 0.291000
136.823730 0.290000
137.213745 0.289000
137.559814 0.289000
137.889404 0.289000
138.229980 0.289000
138.515625 0.290000
138.839722 0.290000
139.185791 0.291000
139.515381 0.291000
139.855957 0.292000
140.185547 0.292000
140.465698 0.293000
140.811768 0.294000
141.135864 0.294000
141.481934 0.294000
141.811523 0.294000
142.152100 0.294000
142.498169 0.294000
142.827759 0.293000
142.844238 0.000000
143.168335 0.293000
143.497925 0.293000
143.838501 0.293000
144.168091 0.293000
144.514160 0.293000
144.843750 0.293000
145.184326 0.294000
145.530396 0.294000
145.854492 0.295000
146.200562 0.294000
146.530151 0.293000
148.106689 0.246000
148.546143 0.242000
148.952637 0.239000
149.342651 0.237000
149.589844 0.000000
149.776611 0.234000
149.924927 0.000000
150.122681 0.232000
150.512695 0.231000
150.600586 0.000000
150.902710 0.229000
150.941162 0.000000
151.276245 0.000000
151.292725 0.227000
151.616821 0.000000
151.638794 0.226000
151.951904 0.000000
152.028809 0.225000
152.286987 0.000000
152.418823 0.223000
152.627563 0.000000
152.808838 0.220000
152.962646 0.000000
153.198853 0.219000
153.303223 0.000000
153.588867 0.217000
153.638306 0.000000
153.973389 0.000000
153.995361 0.215000
154.313965 0.000000
154.324951 0.214000
154.649048 0.000000
154.714966 0.212000
155.104980 0.211000
156.121216 0.211000
160.609131 0.219000
160.889282 0.220000
161.279297 0.219000
161.608887 0.219000
161.949463 0.218000
162.279053 0.218000
162.619629 0.218000
162.949219 0.219000
163.295288 0.219000
163.624878 0.219000
163.965454 0.219000
164.245605 0.220000
164.575195 0.220000
164.921265 0.221000
165.245361 0.221000
165.531006 0.222000
165.871582 0.223000
166.201172 0.223000
166.541748 0.223000
166.827393 0.224000
167.151489 0.224000
167.497559 0.224000
167.827148 0.224000
168.167725 0.224000
168.497314 0.224000
168.843384 0.225000
169.123535 0.226000
169.453125 0.226000
169.854126 0.224000
170.183716 0.224000
170.529785 0.224000
170.859375 0.224000
171.199951 0.225000
171.529541 0.224000
171.870117 0.224000
172.199707 0.224000
172.545776 0.225000
172.825928 0.226000
173.155518 0.226000
173.496094 0.226000
173.825684 0.226000
174.171753 0.226000
174.495850 0.227000
174.841919 0.227000
175.171509 0.227000
175.512085 0.227000
175.841675 0.227000
176.182251 0.227000
176.511841 0.227000
176.857910 0.227000
176.918335 0.000000
177.187500 0.227000
177.528076 0.227000
177.857666 0.227000
178.198242 0.227000
178.483887 0.228000
178.807983 0.228000
179.154053 0.228000
179.483643 0.228000
179.824219 0.229000
180.170288 0.229000
180.499878 0.228000
180.889893 0.227000
181.170044 0.229000
181.450195 0.231000
181.796265 0.231000
182.686157 0.223000
182.966309 0.224000
183.246460 0.226000
183.592529 0.227000
183.916626 0.227000
184.262695 0.227000
184.592285 0.227000
184.872437 0.228000
185.152588 0.230000
185.498657 0.230000
185.888672 0.229000
186.168823 0.230000
186.448975 0.233000
186.729126 0.235000
187.058716 0.236000
187.404785 0.236000
187.734375 0.235000
188.074951 0.235000
188.404541 0.235000
188.745117 0.236000
189.030762 0.237000
189.354858 0.238000
189.700928 0.238000
190.030518 0.238000
190.371094 0.238000
190.700684 0.238000
191.046753 0.238000
191.387329 0.238000
191.651001 0.239000
191.997070 0.239000
192.343140 0.239000
192.667236 0.240000
193.013306 0.240000
193.342896 0.240000
193.683472 0.241000
194.013062 0.241000
194.293213 0.243000
194.639282 0.243000
194.919434 0.244000
195.249023 0.244000
195.589600 0.244000
