Angle, Distance
0.170288 6.448000
0.565796 0.000000
0.780029 10.528000
1.104126 10.456000
1.433716 10.368000
1.763306 10.416000
2.092896 10.432000
2.433472 10.456000
2.763062 10.536000
3.092651 10.536000
3.416748 10.552000
3.889160 0.000000
4.092407 10.576000
4.553833 0.000000
4.921875 4.288000
5.245972 4.280000
5.575562 4.280000
5.905151 4.288000
6.229248 4.288000
6.575317 4.296000
6.904907 4.288000
7.229004 4.288000
7.542114 0.000000
7.871704 0.000000
8.206787 0.000000
8.448486 6.624000
8.871460 0.000000
9.168091 5.184000
9.497681 5.128000
9.827271 5.120000
10.151367 5.120000
10.480957 5.096000
10.827026 5.080000
11.151123 5.056000
11.480713 5.024000
11.810303 4.976000
12.139893 4.936000
12.480469 4.920000
12.854004 4.896000
13.200073 4.896000
13.529663 4.888000
13.853760 0.000000
14.183350 4.856000
14.518433 0.000000
16.029053 0.914000
16.419067 0.910000
16.748657 0.908000
17.072754 0.908000
17.402344 0.910000
17.506714 0.000000
17.682495 0.912000
17.836304 0.000000
18.012085 0.914000
18.171387 0.000000
18.341675 0.924000
18.500977 0.000000
18.836060 0.000000
19.165649 0.000000
19.495239 0.000000
19.824829 4.632000
20.154419 4.608000
20.484009 4.600000
20.824585 0.000000
21.137695 4.584000
21.489258 0.000000
21.824341 0.000000
22.027588 6.800000
22.357178 6.808000
22.686768 6.792000
23.027344 6.800000
23.356934 6.800000
23.686523 6.792000
24.010620 6.808000
24.356689 6.824000
24.686279 6.816000
25.010376 6.808000
25.339966 6.816000
25.669556 6.824000
26.015625 6.808000
26.339722 6.800000
26.669312 6.816000
26.998901 6.816000
27.339478 6.816000
27.669067 6.816000
27.998657 6.824000
28.322754 6.816000
28.795166 0.000000
28.998413 6.832000
29.262085 9.856000
29.608154 9.992000
29.932251 10.088000
30.261841 10.104000
30.591431 10.072000
30.937500 10.064000
31.261597 10.064000
31.591187 10.024000
31.920776 9.992000
32.244873 9.992000
32.590942 9.960000
32.920532 9.904000
33.447876 0.000000
33.777466 0.000000
33.920288 9.928000
34.442139 0.000000
34.777222 0.000000
35.106812 0.000000
