Angle, Distance
0.043945 8.320000
0.401001 8.320000
0.747070 8.328000
1.093140 8.312000
1.433716 8.344000
1.779785 8.400000
2.136841 8.480000
2.554321 0.000000
2.900391 0.000000
3.246460 0.000000
3.592529 0.000000
3.938599 0.000000
4.498901 3.152000
4.839478 3.112000
5.185547 3.104000
5.526123 3.120000
5.872192 3.128000
6.218262 3.112000
6.575317 3.108000
6.707153 0.000000
7.053223 0.000000
7.608032 3.140000
7.739868 0.000000
8.031006 10.016000
8.371582 10.000000
8.717651 10.000000
9.124146 0.000000
9.404297 10.024000
9.816284 0.000000
10.162354 0.000000
10.557861 5.384000
10.854492 0.000000
11.200562 6.576000
11.546631 6.648000
11.892700 0.000000
12.293701 5.472000
12.639771 5.440000
12.930908 0.000000
13.276978 0.000000
13.683472 5.392000
14.309692 2.544000
14.315186 0.000000
14.996338 2.584000
15.007324 0.000000
15.748901 2.392000
16.040039 0.000000
16.089478 2.380000
16.386108 0.000000
16.732178 0.000000
17.078247 0.000000
17.424316 0.000000
17.770386 0.000000
18.462524 0.000000
18.528442 2.448000
19.154663 0.000000
19.215088 2.456000
19.857788 2.492000
20.198364 2.544000
20.544434 2.608000
20.901489 2.632000
21.247559 2.632000
21.593628 2.652000
21.934204 2.664000
22.280273 2.684000
22.620850 2.716000
22.983398 2.732000
23.263550 2.744000
23.302002 0.000000
23.648071 0.000000
24.356689 2.504000
24.713745 2.508000
25.059814 2.496000
25.405884 2.476000
25.746460 2.468000
26.092529 2.460000
26.499023 2.456000
26.839600 2.448000
27.185669 2.440000
27.542725 2.428000
27.888794 2.424000
28.229370 2.424000
28.575439 2.432000
28.921509 2.420000
29.278564 2.392000
29.624634 2.388000
29.965210 2.364000
30.311279 2.340000
30.651855 2.344000
31.014404 2.352000
31.354980 2.368000
31.602173 0.000000
31.701050 2.388000
31.948242 0.000000
32.294312 0.000000
32.810669 4.464000
33.167725 4.456000
33.513794 4.464000
33.854370 4.464000
34.200439 4.456000
34.557495 4.448000
34.903564 4.448000
35.062866 0.000000
35.590210 4.440000
35.755005 0.000000
36.293335 4.896000
36.639404 4.912000
36.996460 4.904000
37.342529 4.912000
37.683105 4.904000
37.831421 0.000000
38.171997 0.000000
38.518066 0.000000
38.902588 9.312000
39.210205 0.000000
39.605713 9.032000
39.951782 9.032000
40.308838 9.024000
40.654907 9.056000
40.995483 9.024000
41.341553 9.024000
41.698608 9.040000
42.044678 9.040000
42.385254 9.096000
42.731323 9.240000
43.088379 9.288000
43.434448 9.224000
43.780518 9.144000
44.137573 9.192000
44.483643 9.184000
44.824219 9.064000
45.170288 9.008000
45.527344 8.976000
45.873413 8.992000
46.213989 9.000000
46.560059 9.120000
46.917114 9.264000
47.263184 9.304000
47.609253 9.344000
47.949829 9.360000
48.202515 0.000000
48.652954 9.224000
48.999023 9.160000
49.240723 0.000000
49.586792 0.000000
50.042725 9.272000
50.278931 0.000000
50.625000 0.000000
51.152344 7.392000
51.498413 7.328000
51.838989 7.328000
52.185059 7.352000
52.355347 0.000000
52.701416 0.000000
53.047485 0.000000
53.701172 4.472000
54.041748 4.368000
54.387817 4.280000
54.733887 4.216000
55.090942 4.148000
55.480957 4.084000
55.843506 4.024000
56.184082 3.972000
56.530151 3.912000
56.887207 3.832000
57.233276 3.760000
57.573853 3.700000
57.919922 3.648000
58.276978 3.600000
58.623047 3.560000
58.963623 3.520000
59.370117 3.472000
59.617310 0.000000
59.716187 3.436000
59.963379 0.000000
60.765381 3.388000
61.105957 3.344000
61.468506 3.320000
61.809082 3.312000
62.155151 3.304000
62.495728 3.292000
62.858276 3.280000
63.198853 3.268000
63.544922 3.256000
63.901978 3.244000
64.248047 3.240000
64.588623 3.224000
64.934692 3.216000
65.280762 3.204000
65.621338 3.192000
65.983887 3.188000
66.324463 3.172000
66.670532 3.148000
67.011108 3.144000
67.357178 3.144000
67.697754 3.136000
68.060303 3.128000
68.400879 3.120000
68.746948 3.112000
69.093018 3.104000
69.433594 3.100000
69.779663 3.092000
70.136719 3.084000
70.482788 3.076000
70.889282 3.072000
71.229858 3.064000
71.575928 3.056000
71.916504 3.056000
72.262573 3.056000
72.608643 3.052000
72.949219 3.052000
73.311768 3.044000
73.652344 3.040000
73.998413 3.048000
74.338989 3.048000
74.685059 3.056000
75.031128 3.068000
75.179443 0.000000
75.327759 3.088000
75.525513 0.000000
75.871582 0.000000
76.761475 2.920000
77.107544 2.924000
77.250366 0.000000
77.464600 2.924000
78.651123 1.380000
78.997192 1.374000
79.354248 1.370000
79.749756 1.364000
80.090332 1.350000
80.452881 1.336000
80.793457 1.336000
81.139526 1.338000
81.480103 1.340000
81.826172 1.346000
82.166748 1.348000
82.529297 1.352000
82.787476 0.000000
82.869873 1.356000
83.215942 1.364000
83.479614 0.000000
83.512573 1.374000
84.199219 1.390000
84.841919 1.480000
85.182495 1.462000
85.588989 1.440000
85.935059 1.428000
86.281128 1.422000
86.621704 1.412000
86.967773 1.392000
87.308350 1.386000
87.670898 1.392000
88.011475 1.386000
88.357544 1.380000
88.698120 1.376000
89.044189 1.374000
89.450684 1.364000
89.747314 1.370000
90.093384 1.376000
90.433960 1.376000
90.780029 1.376000
91.120605 1.372000
91.466675 1.374000
91.823730 1.374000
92.169800 1.376000
92.510376 1.376000
92.856445 1.380000
93.202515 1.386000
93.543091 1.388000
93.905640 1.390000
94.246216 1.396000
94.592285 1.408000
94.932861 1.404000
95.278931 1.410000
95.625000 1.426000
95.982056 1.426000
96.328125 1.434000
96.668701 1.444000
96.948853 1.454000
96.965332 0.000000
97.311401 1.466000
97.311401 0.000000
97.651978 1.490000
97.657471 0.000000
98.003540 0.000000
98.349609 0.000000
99.041748 5.312000
99.387817 5.296000
99.387817 0.000000
100.200806 3.856000
100.546875 3.908000
100.887451 3.960000
101.112671 0.000000
101.233521 4.012000
102.150879 0.000000
102.496948 0.000000
102.529907 1.424000
102.826538 1.450000
102.843018 0.000000
104.260254 1.422000
104.606323 1.424000
104.952393 1.434000
105.265503 0.000000
105.292969 1.446000
105.573120 1.458000
105.611572 0.000000
105.919189 1.488000
105.957642 0.000000
106.303711 0.000000
106.649780 0.000000
107.325439 5.176000
107.671509 5.232000
108.012085 5.224000
108.358154 5.224000
108.698730 5.200000
109.044800 5.192000
109.385376 5.176000
109.731445 5.216000
109.758911 0.000000
110.418091 5.872000
110.451050 0.000000
110.797119 0.000000
111.450806 5.856000
111.489258 0.000000
113.214111 1.034000
113.560181 1.032000
113.906250 1.028000
114.246826 1.026000
114.592896 1.026000
114.933472 1.028000
114.944458 0.000000
115.279541 1.032000
115.620117 1.034000
115.636597 0.000000
115.966187 1.038000
115.982666 0.000000
116.328735 0.000000
116.652832 1.048000
116.674805 0.000000
117.020874 0.000000
117.366943 0.000000
117.713013 0.000000
118.059082 0.000000
118.405151 0.000000
118.981934 7.992000
119.328003 7.984000
119.668579 7.960000
120.014648 7.936000
120.135498 0.000000
120.717773 7.944000
120.827637 0.000000
121.173706 0.000000
121.865845 0.000000
121.920776 3.676000
122.211914 0.000000
122.898560 0.000000
123.167725 2.448000
123.244629 0.000000
123.980713 3.840000
124.282837 0.000000
124.326782 3.808000
124.974976 0.000000
125.013428 3.772000
125.321045 0.000000
125.667114 0.000000
126.359253 0.000000
126.386719 3.724000
127.073364 3.688000
127.397461 0.000000
127.435913 3.864000
128.089600 0.000000
128.276367 2.496000
128.435669 0.000000
128.781738 0.000000
129.495850 3.776000
129.841919 3.756000
130.182495 3.736000
130.528564 3.720000
130.874634 3.700000
131.215210 3.688000
131.544800 0.000000
131.561279 3.688000
132.236938 0.000000
132.308350 3.508000
132.583008 0.000000
133.275146 0.000000
133.291626 3.520000
133.621216 0.000000
134.313354 0.000000
134.544067 2.400000
135.010986 3.624000
135.357056 3.612000
135.703125 3.608000
136.043701 3.600000
136.389771 3.596000
136.730347 3.596000
137.076416 3.580000
137.416992 3.576000
137.763062 3.520000
138.169556 3.464000
138.460693 0.000000
138.515625 3.480000
138.806763 0.000000
139.498901 0.000000
139.718628 2.364000
139.844971 0.000000
140.526123 3.552000
140.872192 3.540000
141.218262 3.528000
141.558838 3.520000
141.904907 3.524000
142.245483 3.524000
142.591553 3.524000
142.932129 3.544000
142.959595 0.000000
143.684692 3.432000
143.997803 0.000000
144.030762 3.456000
144.667969 3.520000
145.036011 0.000000
145.233765 2.332000
145.722656 0.000000
145.920410 2.340000
147.843018 0.754000
148.183594 0.746000
148.590088 0.734000
148.936157 0.728000
149.326172 0.722000
149.683228 0.716000
150.029297 0.714000
150.369873 0.712000
150.715942 0.710000
151.062012 0.708000
151.402588 0.708000
151.748657 0.706000
152.089233 0.704000
152.435303 0.704000
152.775879 0.704000
153.121948 0.704000
153.468018 0.704000
153.808594 0.706000
154.154663 0.706000
154.495239 0.708000
154.841309 0.710000
155.198364 0.712000
155.544434 0.716000
155.890503 0.716000
156.231079 0.718000
156.577148 0.718000
156.917725 0.716000
157.263794 0.718000
157.604370 0.720000
157.890015 0.724000
158.247070 0.724000
158.521729 0.000000
158.593140 0.726000
158.933716 0.730000
159.213867 0.000000
