time,x,y,theta
0.00300,0.99968,0.40005,2.14578
0.00600,0.99968,0.40005,2.14578
0.00900,0.99968,0.40005,2.14578
0.01200,0.99968,0.40005,2.14578
0.01500,0.99968,0.40005,2.14578
0.01800,0.99968,0.40005,2.14578
0.02100,0.99968,0.40005,2.14578
0.02400,0.99968,0.40005,2.14578
0.02700,0.99968,0.40005,2.14578
0.03000,0.99968,0.40005,2.14578
0.03300,0.99968,0.40005,2.14578
0.03600,0.99968,0.40005,2.14578
0.03900,0.99968,0.40005,2.14578
0.04200,0.99968,0.40005,2.14578
0.04500,0.99968,0.40005,2.14578
0.04800,0.99968,0.40005,2.14578
0.05100,0.99968,0.40005,2.14578
0.05400,0.99968,0.40005,2.14578
0.05700,0.99968,0.40005,2.14578
0.06000,0.99914,0.40005,2.14578
0.06300,0.99914,0.40005,2.14578
0.06600,0.99914,0.40005,2.14578
0.06900,0.99914,0.40005,2.14578
0.07200,0.99914,0.40099,2.14578
0.07500,0.99914,0.40099,2.14578
0.07800,0.99914,0.40099,2.14578
0.08100,0.99914,0.40099,2.14578
0.08400,0.99914,0.40099,2.14578
0.08700,0.99914,0.40099,2.14578
0.09000,0.99914,0.40099,2.14578
0.09300,0.99914,0.40099,2.14578
0.09600,0.99914,0.40099,2.14578
0.09900,0.99914,0.40099,2.14578
0.10200,0.99914,0.40099,2.14578
0.10500,0.99914,0.40099,2.14578
0.10800,0.99914,0.40099,2.14578
0.11100,0.99914,0.40099,2.14578
0.11400,0.99914,0.40099,2.14578
0.11700,0.99914,0.40099,2.14578
0.12000,0.99914,0.40099,2.14578
0.12300,0.99914,0.40099,2.14578
0.12600,0.99914,0.40099,2.26592
0.12900,0.99914,0.40099,2.26592
0.13200,0.99914,0.40099,2.26592
0.13500,0.99914,0.40099,2.26592
0.13800,0.99914,0.40099,2.26592
0.14100,0.99914,0.40099,2.26592
0.14400,0.99914,0.40099,2.26592
0.14700,0.99914,0.40099,2.26592
0.15000,0.99914,0.40099,2.26592
0.15300,0.99914,0.40099,2.26592
0.15600,0.99914,0.40099,2.26592
0.15900,0.99914,0.40099,2.26592
0.16200,0.99914,0.40099,2.26592
0.16500,0.99914,0.40099,2.26592
0.16800,0.99914,0.40099,2.26592
0.17100,0.99914,0.40099,2.26592
0.17400,0.99914,0.40099,2.26592
0.17700,0.99914,0.40099,2.26592
0.18000,0.99914,0.40099,2.26592
0.18300,0.99914,0.40099,2.26592
0.18600,0.99914,0.40099,2.26592
0.18900,0.99914,0.40099,2.26592
0.19200,0.99914,0.40099,2.26592
0.19500,0.99914,0.40099,2.26592
0.19800,0.99914,0.40099,2.26592
