Angle, Distance
0.010986 0.698000
0.043945 0.000000
0.263672 0.696000
0.296631 0.000000
0.510864 0.692000
0.549316 0.000000
0.763550 0.690000
0.802002 0.000000
1.010742 0.690000
1.263428 0.690000
1.510620 0.690000
1.746826 0.690000
1.999512 0.690000
2.246704 0.692000
2.499390 0.694000
2.746582 0.696000
3.186035 0.704000
4.081421 0.000000
4.586792 0.000000
4.839478 0.000000
5.086670 0.000000
5.218506 0.510000
5.339355 0.000000
5.465698 0.506000
5.718384 0.504000
5.965576 0.503000
6.278687 0.501000
6.514893 0.501000
6.762085 0.500000
7.014771 0.500000
7.261963 0.500000
7.514648 0.500000
7.761841 0.501000
8.014526 0.501000
8.201294 0.502000
8.448486 0.503000
8.701172 0.504000
8.948364 0.507000
9.201050 0.509000
9.882202 0.000000
9.887695 0.516000
10.134888 0.000000
10.640259 0.000000
10.892944 0.000000
11.145630 0.000000
11.398315 0.000000
11.651001 0.000000
11.898193 0.000000
12.150879 0.000000
12.403564 0.000000
12.656250 0.000000
12.908936 0.000000
13.161621 0.000000
13.414307 0.000000
13.666992 0.000000
13.919678 0.000000
14.172363 0.000000
14.425049 0.000000
14.677734 0.000000
14.930420 0.000000
15.177612 0.000000
15.430298 0.000000
15.682983 0.000000
15.935669 0.000000
16.188354 0.000000
16.441040 0.000000
16.693726 0.000000
16.946411 0.000000
17.199097 0.000000
17.451782 0.000000
17.704468 0.000000
17.957153 0.000000
18.209839 0.000000
18.462524 0.000000
18.709717 0.000000
18.962402 0.000000
19.215088 0.000000
19.467773 0.000000
19.720459 0.000000
19.973145 0.000000
20.225830 0.000000
20.478516 0.000000
20.731201 0.000000
20.983887 0.000000
21.236572 0.000000
21.489258 0.000000
21.741943 0.000000
21.989136 0.000000
22.241821 0.000000
22.494507 0.000000
22.747192 0.000000
22.999878 0.000000
23.252563 0.000000
23.505249 0.000000
23.757935 0.000000
24.010620 0.000000
24.263306 0.000000
24.515991 0.000000
24.768677 0.000000
25.021362 0.000000
25.274048 0.000000
25.521240 0.000000
25.773926 0.000000
26.026611 0.000000
26.279297 0.000000
26.531982 0.000000
26.784668 0.000000
27.037354 0.000000
27.290039 0.000000
27.542725 0.000000
27.795410 0.000000
28.048096 0.000000
28.300781 0.000000
28.553467 0.000000
28.800659 0.000000
29.053345 0.000000
29.306030 0.000000
29.558716 0.000000
29.811401 0.000000
30.064087 0.000000
30.316772 0.000000
30.569458 0.000000
30.822144 0.000000
31.074829 0.000000
31.327515 0.000000
31.580200 0.000000
31.832886 0.000000
32.085571 0.000000
32.332764 0.000000
32.585449 0.000000
32.838135 0.000000
33.090820 0.000000
33.343506 0.000000
33.596191 0.000000
33.848877 0.000000
34.101562 0.000000
34.354248 0.000000
34.606934 0.000000
34.859619 0.000000
35.112305 0.000000
35.364990 0.000000
35.612183 0.000000
35.864868 0.000000
36.117554 0.000000
36.370239 0.000000
36.622925 0.000000
36.875610 0.000000
37.128296 0.000000
42.198486 0.169000
42.401733 0.170000
42.588501 0.171000
42.841187 0.171000
43.088379 0.171000
43.181763 0.000000
43.341064 0.171000
43.434448 0.000000
43.593750 0.171000
43.687134 0.000000
43.840942 0.171000
43.939819 0.000000
44.093628 0.171000
44.192505 0.000000
44.340820 0.171000
44.445190 0.000000
44.653931 0.170000
44.697876 0.000000
44.950562 0.000000
45.010986 0.168000
45.203247 0.000000
45.307617 0.167000
45.455933 0.000000
45.560303 0.167000
45.703125 0.000000
45.873413 0.166000
45.955811 0.000000
46.186523 0.165000
46.208496 0.000000
46.417236 0.164000
46.461182 0.000000
46.713867 0.000000
46.730347 0.163000
46.966553 0.000000
